code	name	population
05905	Villanueva de Ávila	217
06001	Acedera	826
06002	Aceuchal	5478
06003	Ahillones	863
06004	Alange	1856
06005	Albuera, La	2035
06006	Alburquerque	5293
06007	Alconchel	1659
06008	Alconera	743
06009	Aljucén	250
06010	Almendral	1239
06011	Almendralejo	33855
06012	Arroyo de San Serván	4080
06013	Atalaya	294
06014	Azuaga	7747
06015	Badajoz	150984
06016	Barcarrota	3483
06017	Baterno	266
06018	Benquerencia de la Serena	812
06019	Berlanga	2331
06020	Bienvenida	2081
06021	Bodonal de la Sierra	1036
06022	Burguillos del Cerro	3066
06023	Cabeza del Buey	4808
06024	Cabeza la Vaca	1298
06025	Calamonte	6170
06026	Calera de León	930
06027	Calzadilla de los Barros	736
06028	Campanario	4854
06029	Campillo de Llerena	1343
06030	Capilla	172
06031	Carmonita	524
06032	Carrascalejo, El	85
06033	Casas de Don Pedro	1447
06034	Casas de Reina	199
06035	Castilblanco	915
06036	Castuera	5784
06037	Codosera, La	2061
06038	Cordobilla de Lácara	897
06039	Coronada, La	2165
06040	Corte de Peleas	1191
06041	Cristina	551
06042	Cheles	1173
06043	Don Álvaro	775
06044	Don Benito	37284
06045	Entrín Bajo	552
06046	Esparragalejo	1460
06047	Esparragosa de la Serena	998
06048	Esparragosa de Lares	906
06049	Feria	1115
06050	Fregenal de la Sierra	4836
06051	Fuenlabrada de los Montes	1811
06052	Fuente de Cantos	4687
06053	Fuente del Arco	681
06054	Fuente del Maestre	6714
06055	Fuentes de León	2248
06056	Garbayuela	509
06057	Garlitos	565
06058	Garrovilla, La	2357
06059	Granja de Torrehermosa	1977
06060	Guareña	6888
06061	Haba, La	1219
06062	Helechosa de los Montes	626
06063	Herrera del Duque	3489
06064	Higuera de la Serena	936
06065	Higuera de Llerena	337
06066	Higuera de Vargas	1925
06067	Higuera la Real	2219
06068	Hinojosa del Valle	475
06069	Hornachos	3537
06070	Jerez de los Caballeros	9196
06071	Lapa, La	279
06072	Lobón	2756
06073	Llera	829
06074	Llerena	5743
06075	Magacela	523
06076	Maguilla	957
06077	Malcocinado	356
06078	Malpartida de la Serena	543
06079	Manchita	764
06080	Medellín	2275
06081	Medina de las Torres	1176
06082	Mengabril	498
06083	Mérida	59548
06084	Mirandilla	1262
06085	Monesterio	4216
06086	Montemolín	1361
06087	Monterrubio de la Serena	2326
06088	Montijo	15504
06089	Morera, La	714
06090	Nava de Santiago, La	926
06091	Navalvillar de Pela	4403
06092	Nogales	658
06093	Oliva de la Frontera	5086
06094	Oliva de Mérida	1725
06095	Olivenza	11912
06096	Orellana de la Sierra	244
06097	Orellana la Vieja	2641
06098	Palomas	671
06099	Parra, La	1327
06100	Peñalsordo	896
06101	Peraleda del Zaucejo	507
06102	Puebla de Alcocer	1212
06103	Puebla de la Calzada	5834
06104	Puebla de la Reina	724
06105	Puebla del Maestre	670
06106	Puebla del Prior	480
06107	Puebla de Obando	1839
06108	Puebla de Sancho Pérez	2676
06109	Quintana de la Serena	4574
06110	Reina	150
06111	Rena	610
06112	Retamal de Llerena	436
06113	Ribera del Fresno	3256
06114	Risco	132
06115	Roca de la Sierra, La	1455
06116	Salvaleón	1721
06117	Salvatierra de los Barros	1607
06118	Sancti-Spíritus	165
06119	San Pedro de Mérida	838
06120	Santa Amalia	3975
06121	Santa Marta	4124
06122	Santos de Maimona, Los	8075
06123	San Vicente de Alcántara	5377
06124	Segura de León	1851
06125	Siruela	1861
06126	Solana de los Barros	2601
06127	Talarrubias	3406
06128	Talavera la Real	5314
06129	Táliga	678
06130	Tamurejo	212
06131	Torre de Miguel Sesmero	1246
06132	Torremayor	949
06133	Torremejía	2257
06134	Trasierra	625
06135	Trujillanos	1376
06136	Usagre	1751
06137	Valdecaballeros	1065
06138	Valdetorres	1179
06139	Valencia de las Torres	540
06140	Valencia del Mombuey	725
06141	Valencia del Ventoso	1960
06142	Valverde de Burguillos	273
06143	Valverde de Leganés	4167
06144	Valverde de Llerena	570
06145	Valverde de Mérida	1047
06146	Valle de la Serena	1172
06147	Valle de Matamoros	363
06148	Valle de Santa Ana	1143
06149	Villafranca de los Barros	12673
06150	Villagarcía de la Torre	906
06151	Villagonzalo	1234
06152	Villalba de los Barros	1475
06153	Villanueva de la Serena	25752
06154	Villanueva del Fresno	3364
06155	Villar del Rey	2106
06156	Villar de Rena	1353
06157	Villarta de los Montes	423
06158	Zafra	16810
06159	Zahínos	2774
06160	Zalamea de la Serena	3545
06161	Zarza-Capilla	310
06162	Zarza, La	3402
06901	Valdelacalzada	2721
06902	Pueblonuevo del Guadiana	2008
06903	Guadiana del Caudillo	2492
07001	Alaró	5617
07002	Alaior	9467
07003	Alcúdia	20819
07004	Algaida	5793
07005	Andratx	11433
07006	Artà	7984
07007	Banyalbufar	523
07008	Binissalem	8756
07009	Búger	1087
07010	Bunyola	6895
07011	Calvià	51710
07012	Campanet	2648
07013	Campos	11283
07014	Capdepera	12158
07015	Ciutadella de Menorca	30588
07016	Consell	4125
07017	Costitx	1329
07018	Deià	630
07019	Escorca	208
07020	Esporles	5113
07021	Estellencs	327
07022	Felanitx	18202
07023	Ferreries	4908
07024	Formentera	11904
07025	Fornalutx	679
07026	Eivissa	51128
07027	Inca	33679
07028	Lloret de Vistalegre	1437
07029	Lloseta	6122
07030	Llubí	2298
07031	Llucmajor	37752
07032	Maó-Mahón	29592
07033	Manacor	44527
07034	Mancor de la Vall	1528
07035	Maria de la Salut	2245
07036	Marratxí	37724
07037	Mercadal, Es	5316
07038	Montuïri	2987
07039	Muro	7394
07040	Palma	422587
07041	Petra	2942
07042	Pollença	16658
07043	Porreres	5576
07044	Pobla, Sa	13764
07045	Puigpunyent	2044
07046	Sant Antoni de Portmany	27033
07047	Sencelles	3370
07048	Sant Josep de sa Talaia	27732
07049	Sant Joan	2145
07050	Sant Joan de Labritja	6576
07051	Sant Llorenç des Cardassar	8742
07052	Sant Lluís	6735
07053	Santa Eugènia	1641
07054	Santa Eulària des Riu	39358
07055	Santa Margalida	12797
07056	Santa María del Camí	7486
07057	Santanyí	12373
07058	Selva	4080
07059	Salines, Ses	5096
07060	Sineu	4030
07061	Sóller	13634
07062	Son Servera	11817
07063	Valldemossa	2009
07064	Castell, Es	7572
07065	Vilafranca de Bonany	3466
07901	Ariany	902
07902	Migjorn Gran, Es	1463
08001	Abrera	12538
08002	Aguilar de Segarra	282
08003	Alella	9904
08004	Alpens	261
08005	Ametlla del Vallès, L'	8646
08006	Arenys de Mar	15941
08007	Arenys de Munt	9121
08008	Argençola	219
08009	Argentona	12536
08010	Artés	5762
08011	Avià	2220
08012	Avinyó	2289
08013	Avinyonet del Penedès	1697
08014	Aiguafreda	2512
08015	Badalona	223166
08016	Bagà	2140
08017	Balenyà	3840
08018	Balsareny	3192
08019	Barcelona	1664182
08020	Begues	7300
08021	Bellprat	64
08022	Berga	16760
08023	Bigues i Riells	9358
08024	Borredà	464
08025	Bruc, El	2110
08026	Brull, El	258
08027	Cabanyes, Les	979
08028	Cabrera d'Anoia	1482
08029	Cabrera de Mar	4747
08030	Cabrils	7432
08031	Calaf	3656
08032	Caldes d'Estrac	3021
08033	Caldes de Montbui	17812
08034	Calders	1045
08035	Calella	19277
08036	Calonge de Segarra	188
08037	Calldetenes	2513
08038	Callús	2129
08039	Campins	541
08040	Canet de Mar	14865
08041	Canovelles	16829
08042	Cànoves i Samalús	3156
08043	Canyelles	4699
08044	Capellades	5342
08045	Capolat	84
08046	Cardedeu	18424
08047	Cardona	4639
08048	Carme	785
08049	Casserres	1588
08050	Castellar del Riu	176
08051	Castellar del Vallès	24488
08052	Castellar de n'Hug	156
08053	Castellbell i el Vilar	3719
08054	Castellbisbal	12539
08055	Castellcir	742
08056	Castelldefels	67460
08057	Castell de l'Areny	67
08058	Castellet i la Gornal	2382
08059	Castellfollit del Boix	447
08060	Castellfollit de Riubregós	162
08061	Castellgalí	2119
08062	Castellnou de Bages	1437
08063	Castellolí	626
08064	Castellterçol	2548
08065	Castellví de la Marca	1575
08066	Castellví de Rosanes	1933
08067	Centelles	7513
08068	Cervelló	9077
08069	Collbató	4544
08070	Collsuspina	359
08071	Copons	321
08072	Corbera de Llobregat	14882
08073	Cornellà de Llobregat	89936
08074	Cubelles	15770
08075	Dosrius	5652
08076	Esparreguera	22302
08077	Esplugues de Llobregat	47150
08078	Espunyola, L'	242
08079	Estany, L'	408
08080	Fígols	43
08081	Fogars de Montclús	475
08082	Fogars de la Selva	1469
08083	Folgueroles	2265
08084	Fonollosa	1459
08085	Font-rubí	1414
08086	Franqueses del Vallès, Les	20364
08087	Gallifa	167
08088	Garriga, La	16668
08089	Gavà	47057
08090	Gaià	183
08091	Gelida	7670
08092	Gironella	4946
08093	Gisclareny	26
08094	Granada, La	2208
08095	Granera	77
08096	Granollers	62419
08097	Gualba	1548
08098	Sant Salvador de Guardiola	3221
08099	Guardiola de Berguedà	941
08100	Gurb	2713
08101	Hospitalet de Llobregat, L'	269382
08102	Igualada	40742
08103	Jorba	833
08104	Llacuna, La	903
08105	Llagosta, La	13587
08106	Llinars del Vallès	10018
08107	Lliçà d'Amunt	15469
08108	Lliçà de Vall	6497
08109	Lluçà	276
08110	Malgrat de Mar	18772
08111	Malla	272
08112	Manlleu	20912
08113	Manresa	78245
08114	Martorell	28772
08115	Martorelles	4820
08116	Masies de Roda, Les	719
08117	Masies de Voltregà, Les	3132
08118	Masnou, El	23831
08119	Masquefa	9402
08120	Matadepera	9496
08121	Mataró	129661
08122	Mediona	2369
08123	Molins de Rei	25940
08124	Mollet del Vallès	51600
08125	Montcada i Reixac	36803
08126	Montgat	12200
08127	Monistrol de Montserrat	3139
08128	Monistrol de Calders	702
08129	Muntanyola	632
08130	Montclar	139
08131	Montesquiu	1030
08132	Montmajor	469
08133	Montmaneu	151
08134	Figaró-Montmany	1142
08135	Montmeló	8831
08136	Montornès del Vallès	16644
08137	Montseny	351
08138	Moià	6383
08139	Mura	220
08140	Navarcles	6057
08141	Navàs	6018
08142	Nou de Berguedà, La	162
08143	Òdena	3668
08144	Olvan	858
08145	Olèrdola	3768
08146	Olesa de Bonesvalls	1840
08147	Olesa de Montserrat	24144
08148	Olivella	3935
08149	Olost	1202
08150	Orís	322
08151	Oristà	549
08152	Orpí	151
08153	Òrrius	758
08154	Pacs del Penedès	918
08155	Palafolls	9613
08156	Palau-solità i Plegamans	14892
08157	Pallejà	11622
08158	Papiol, El	4172
08159	Parets del Vallès	19071
08160	Perafita	405
08161	Piera	16134
08162	Hostalets de Pierola, Els	2980
08163	Pineda de Mar	27984
08164	Pla del Penedès, El	1275
08165	Pobla de Claramunt, La	2185
08166	Pobla de Lillet, La	1093
08167	Polinyà	8504
08168	Pontons	528
08169	Prat de Llobregat, El	65385
08170	Prats de Rei, Els	537
08171	Prats de Lluçanès	2604
08172	Premià de Mar	28531
08174	Puigdàlber	524
08175	Puig-reig	4295
08176	Pujalt	210
08177	Quar, La	49
08178	Rajadell	534
08179	Rellinars	809
08180	Ripollet	39179
08181	Roca del Vallès, La	10754
08182	Pont de Vilomara i Rocafort, El	3907
08183	Roda de Ter	6490
